Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
,0,1,Set,Halfcourt,No,Semi-contested 3,3,17:27,UMBC,2
,1,1,Base,Halfcourt,Yes,Semi-contested 3,0,16:58,UMBC,2
,1,0,Set,Halfcourt,Yes,Contested layup,0,16:30,UMBC,2
,1,1,Base,Halfcourt,No,Turnover,0,16:24,UMBC,2
,1,1,Transition,Transition,Yes,Open 3,0,15:31,UMBC,2
,1,0,OB,OB,Yes,Foul,1,15:00,UMBC,2
,1,1,Zone,Halfcourt/zone,,Contested layup,0,13:56,UMBC,2
,0,0,Transition,Transition,,Semi-contested 3,0,13:42,UMBC,2
,1,0,Base,Halfcourt,Yes,Semi-contested layup,2,13:34,UMBC,2
,0,1,Zone,Halfcourt/zone,yes,Semi-contested 3,3,12:53,UMBC,2
,0,1,Zone,Halfcourt/zone,Yes,Semi-contested 3,3,12:06,UMBC,2
,1,0,Base,Halfcourt,No,Contested layup,0,11:40,UMBC,2
*,1,1,Set,Halfcourt,Yes,Open 3,0,11:07,UMBC,2
,1,1,Set,Halfcourt,Yes,Open 3,3,10:31,UMBC,2
,0,0,OB,OB,Yes,Semi-contested 3,0,9:38,UMBC,2
,1,1,Transition,Transition,Yes,Open 3,3,9:01,UMBC,2
,0,0,Transition,Transition,No,Contested layup,0,8:35,UMBC,2
,0,1,Putback,Putback,No,Turnover,0,8:22,UMBC,2
,1,1,Set,Halfcourt,Yes,Open layup,2,8:08,UMBC,2
,1,0,Set,Halfcourt,No,Turnover,0,7:34,UMBC,2
,0,1,Base,Halfcourt,Yes,Semi-contested 3,0,7:04,UMBC,2
,1,0,Set,Halfcourt,No,Turnover,0,6:21,UMBC,2
,0,0,Set,Halfcourt,No,Contested 2,0,5:33,UMBC,2
,,,Transition ,Transition,Yes,Foul,1,5:01,UMBC,2
,1,0,Set,Halfcourt,No,Contested layup,0,4:25,UMBC,2
,0,1,Set,Halfcourt,No,Open 3,0,3:47,UMBC,2
,1,0,Base,Halfcourt,Yes,Foul,2,3:07,UMBC,2
,1,0,Base,Halfcourt,Yes,Semi-contested layup,2,2:10,UMBC,2
,1,1,Transition,Transition,Yes,Open 3,3,1:37,UMBC,2
,0,1,Set,Halfcourt,Yes,Open 3,0,:46,UMBC,2
,0,0,Set,Halfcourt,Yes,Semi-contested 2,0,:4,UMBC,2

,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,19:30,Stony Brook,1
,0,1,Set,Halfcourt,Yes,Semi-contested 3,0,18:47,Stony Brook,1
,0,0,Set,Halfcourt,No,Contested 2,0,17:51,Stony Brook,1
,0,1,Putback,Putback,Yes,Open 3,3,17:46,Stony Brook,1
,1,2,Set,Halfcourt,Yes,Open 3,0,17:01,Stony Brook,1
,0,0,Set,Halfcourt,No,Turnover,0,16:21,Stony Brook,1
,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,15:49,Stony Brook,1
,1,1,Set,Halfcourt,Yes,Open layup,2,15:19,Stony Brook,1
,1,0,transition,Transition,Yes,Semi-contested layup,2,14:17,Stony Brook,1
,1,0,transition,Transition,No,Turnover,0,13:53,Stony Brook,1
,0,1,set,Halfcourt,Yes,Semi-contested 3,0,13:16,Stony Brook,1
,1,1,set,Halfcourt,Yes,Foul,1,12:43,Stony Brook,1
,1,0,Base,Halfcourt,No,Contested hook,0,12:15,Stony Brook,1
,1,1,Putback,Putback,Yes,Open layup,2,12:07,Stony Brook,1
,1,1,Transition,Transition,Yes,Open 3,0,11:25,Stony Brook,1
,1,0,Base,Halfcourt,Yes,Semi-contested floater,0,11:04,Stony Brook,1
,1,1,Transition,Transition,No,Turnover,0,10:33,Stony Brook,1
,1,1,Base,Halfcourt,Yes,Semi-contested 3,3,10:05,Stony Brook,1
,0,0,Set,Halfcourt,No,Semi-contested 3,3,9:29,Stony Brook,1
,1,0,Base,Halfcourt,Yes,Semi-contested layup,0,8:55,Stony Brook,1
*,0,0,Set,Halfcourt,No,Contested 3,0,8:11,Stony Brook,1
,1,1,Base,Halfcourt,Yes,Open layup,2,7:40,Stony Brook,1
,0,1,Set,Halfcourt,No,Contested 3,0,6:58,Stony Brook,1
,0,0,Set,Halfcourt,No,Turnover,0,6:49,Stony Brook,1
,1,0,Set,Halfcourt,No,Turnover,0,6:21,Stony Brook,1
,1,1,Set,Halfcourt,Yes,Semi-contested 2,2,5:57,Stony Brook,1
,0,1,Transition,Transition,Yes,Open 3,0,5:26,Stony Brook,1
,1,1,Set,Halfcourt,Yes,Dunk,2,5:13,Stony Brook,1
,0,0,Base,Halfcourt,No,Contested 3,0,4:27,Stony Brook,1
,0,0,Set,Halfcourt,No,Semi-contested 3,0,3:46,Stony Brook,1
,1,0,Transition,Transition,No,Turnover,0,3:16,Stony Brook,1
,1,0,Base,Halfcourt,No,Turnover,0,2:52,Stony Brook,1
,0,1,Set,Halfcourt,Yes,Semi-contested 3,3,2:25,Stony Brook,1
*,1,1,Set,Halfcourt,No,Turnover,0,1:49,Stony Brook,1
,1,1,Transition,Transition,No,Turnover,0,1:19,Stony Brook,1
,1,0,Transition/base,Halfcourt,No,Semi-contested layup,0,:49,Stony Brook,1
,0,0,Set,Halfcourt,No,Contested 2,0,:2,Stony Brook,1

,1,0,Set,Halfcourt,Yes,Floater,0,19:45,Stony Brook,2
,1,1,Base,Halfcourt,Yes,Semi-contested 3,0,18:53,Stony Brook,2
,0,0,Base,Halfcourt,Yes,Semi-contested 3,0,18:11,Stony Brook,2
,1,1,Set,Halfcourt,Yes,Turnover,0,17:39,Stony Brook,2
,1,1,Set,Halfcourt,Yes,Open 3,0,16:52,Stony Brook,2
,1,0,Transition,Transition,No,Turnover,0,16:39,Stony Brook,2
,1,1,Set,Halfcourt,Yes,Semi-contested layup,2,15:40,Stony Brook,2
,0,0,Set,Halfcourt,No,Contested 3,0,15:01,Stony Brook,2
,1,0,OB/base,Halfcourt,No,Contested floater,0,14:22,Stony Brook,2
**,0,1,Set,Halfcourt,Yes,Open 3,0,13:55,Stony Brook,2
,0,1,Putback,Putback,yes,Open 3,0,13:47,Stony Brook,2
,1,0,Set,Halfcourt,No,Turnover,0,13:11,Stony Brook,2
,0,0,Set,Halfcourt,No,Contested 3,0,12:49,Stony Brook,2
,1,1,Transition,Transition,Yes,Open 3,3,12:30,Stony Brook,2
,1,0,Set,Halfcourt,Yes,Contested 2,0,11:56,Stony Brook,2
,1,0,Putback,Putback,,Foul,1,11:52,Stony Brook,2
**,1,1,Set,Halfcourt,Yes,Semi-contested 3,0,11:05,Stony Brook,2
,1,0,Putback,Putback,Yes,Semi-contested layup,2,11:03,Stony Brook,2
**,1,1,Set,Halfcourt,Yes,Semi-contested 3,0,10:25,Stony Brook,2
,1,1,Transition,Transition,Yes,Semi-contested layup,2,9:46,Stony Brook,2
,0,1,Set,Halfcourt,Yes,Semi-contested 3,0,8:57,Stony Brook,2
,1,0,Base,Halfcourt,No,Turnover,0,8:37,Stony Brook,2
,1,0,Set,Halfcourt,Yes,Floater,2,8:02,Stony Brook,2
,1,1,Transition,Transition,Yes,Open layup,2,7:31,Stony Brook,2
,1,0,Set,Halfcourt,No,Contested layup,0,6:47,Stony Brook,2
,0,1,Base,Halfcourt,Yes,Semi-contested 3,0,6:16,Stony Brook,2
,1,0,Base,Halfcourt,Yes,Semi-contested layup,2,6:10,Stony Brook,2
,1,0,Base,Halfcourt,No,Turnover,0,5:48,Stony Brook,2
**,1,1,Set,Halfcourt,Yes,Open 3,0,5:06,Stony Brook,2
,0,0,Set,Halfcourt,Yes,Semi-contested 3,3,4:14,Stony Brook,2
,1,1,Set,Halfcourt,Yes,Open 3,3,3:40,Stony Brook,2
